"","animal","weight","age","color","spots","sex","appetite","eyecColor","aggressiveness","yard"
"2778","goat",527,6,"brown",0,"F",4.993,"brown",4,1
"2779","goat",917.2,5,"black",0,"M",9.434,"black",1,3
"2780","horse",1281.8,5,"red",0,"M",4.799,"brown",5,1
"2781","goat",701.2,1,"red",0,"F",9.469,"brown",5,3
"2782","goat",1575.9,2,"black",0,"M",4.048,"brown",3,1
"2783","pig",867.3,2,"red",0,"M",2.599,"black",4,1
"2784","goat",971.8,2,"red",1,"F",4.758,"brown",5,4
"2785","goat",1160.3,6,"red",0,"M",8.252,"black",2,1
"2786","horse",905.5,8,"grey",0,"M",3.665,"black",2,1
"2787","goat",1047,3,"grey",0,"M",2.523,"brown",2,4
"2788","goat",592.5,2,"white",1,"M",-0.395,"brown",4,3
"2789","horse",1510.4,4,"white",0,"M",4.113,"brown",4,1
"2790","horse",831,7,"black",0,"F",4.656,"black",3,1
"2791","pig",1141.1,6,"grey",0,"M",4.372,"brown",5,1
"2792","goat",1300.1,6,"red",0,"M",3.08,"black",5,1
"2793","pig",874.6,3,"white",0,"M",6.372,"brown",2,1
"2794","goat",1200.9,2,"white",0,"F",5.294,"black",1,4
"2795","horse",928.9,6,"red",0,"M",0.955,"brown",1,4
"2796","horse",755,6,"white",0,"F",4.873,"brown",1,1
"2797","horse",1463.6,4,"red",0,"F",8.157,"black",5,1
"2798","goat",1115.1,3,"white",0,"M",7.601,"black",1,1
"2799","goat",1726.2,3,"brown",0,"F",9.825,"black",5,1
"2800","horse",1213.2,4,"red",0,"F",5.276,"brown",3,1
"2801","pig",1029.8,6,"brown",0,"M",6.314,"blue",3,1
"2802","goat",910.3,8,"red",1,"F",-1.125,"black",5,3
"2803","horse",639.1,3,"brown",0,"M",6.356,"black",2,1
"2804","sheep",1284.9,7,"red",0,"F",8.22,"black",1,1
"2805","pig",812.6,4,"black",0,"F",3.91,"brown",4,1
"2806","horse",1138.3,2,"white",1,"F",4.4,"brown",2,1
"2807","goat",943.9,8,"grey",0,"F",0.728,"black",3,1
"2808","horse",994,6,"brown",1,"F",5.364,"black",3,1
"2809","horse",993.6,7,"white",0,"F",4.814,"black",5,4
"2810","horse",1259.4,4,"grey",0,"M",5.401,"black",1,1
"2811","cow",729.8,6,"black",1,"F",4.56,"brown",2,1
"2812","goat",1396.5,8,"red",1,"F",4.731,"black",1,3
"2813","sheep",1225.8,5,"grey",0,"F",2.886,"brown",4,1
"2814","horse",851.8,3,"white",0,"M",4.981,"black",4,1
"2815","goat",828.1,4,"black",1,"F",8.916,"brown",4,1
"2816","pig",1384.5,3,"brown",0,"F",7.394,"brown",4,2
"2817","goat",1177,5,"white",0,"F",3.654,"brown",3,1
"2818","goat",1387.5,5,"black",0,"F",-4.092,"black",1,1
"2819","horse",1020.2,7,"black",1,"M",2.15,"black",3,4
"2820","sheep",889,4,"red",0,"F",10.384,"black",2,2
"2821","goat",1186,3,"grey",0,"M",5.647,"brown",2,1
"2822","pig",1180.4,8,"black",0,"F",4.061,"black",1,1
"2823","horse",971.7,4,"black",0,"M",2.984,"black",1,1
"2824","horse",1056.9,5,"black",0,"M",5.304,"black",2,3
"2825","pig",1239.2,4,"brown",0,"F",5.118,"brown",4,1
"2826","pig",1287.9,7,"brown",1,"F",7.012,"brown",2,3
"2827","horse",892,2,"grey",1,"F",4.011,"brown",5,1
"2828","pig",1277.6,3,"black",0,"M",4.214,"black",4,3
"2829","goat",1170.4,8,"black",1,"F",9.782,"brown",1,4
"2830","pig",1323.8,4,"brown",1,"M",-1.699,"brown",2,1
"2831","horse",1034.7,3,"grey",0,"F",1.536,"black",5,1
"2832","pig",992,8,"grey",1,"F",7.098,"black",5,1
"2833","goat",1138.1,2,"white",0,"F",4.149,"black",2,2
"2834","sheep",1276.1,3,"brown",0,"F",3.79,"brown",5,1
"2835","horse",1271.1,5,"white",0,"F",7.496,"black",1,1
"2836","goat",1653.5,4,"red",0,"M",8.421,"black",1,1
"2837","goat",1064.6,3,"brown",1,"F",1.594,"brown",2,1
"2838","goat",772.2,7,"grey",0,"F",8.576,"brown",4,4
"2839","sheep",1374.9,7,"white",1,"F",7.59,"black",4,2
"2840","pig",717.8,4,"red",1,"M",7.153,"brown",5,1
"2841","cow",1227,8,"red",0,"M",13.19,"brown",3,1
"2842","goat",1424.9,7,"red",1,"F",7.037,"brown",1,2
"2843","sheep",1130.5,1,"white",0,"F",3.221,"black",5,1
"2844","goat",1395.4,4,"red",1,"M",10.952,"black",4,3
"2845","sheep",829.4,3,"black",0,"M",3.81,"blue",4,3
"2846","horse",1263,3,"black",0,"M",5.257,"black",1,1
"2847","pig",895.3,6,"brown",0,"M",-0.965,"brown",2,3
"2848","pig",1366.9,4,"white",0,"F",3.108,"black",3,3
"2849","sheep",1189.1,8,"grey",0,"F",11.511,"black",4,1
"2850","pig",1214.9,7,"brown",0,"F",7.114,"brown",1,1
"2851","horse",924.4,1,"red",0,"F",3.564,"brown",5,2
"2852","horse",1517.8,2,"brown",0,"F",-0.039,"brown",3,4
"2853","pig",1543.5,2,"grey",1,"M",2.173,"black",1,1
"2854","pig",788.5,4,"black",0,"F",6.716,"black",5,3
"2855","horse",1037.2,7,"red",0,"F",1.44,"black",5,2
"2856","goat",1173.2,3,"black",0,"M",4.893,"brown",3,2
"2857","horse",1343.5,3,"white",1,"F",3.608,"black",3,1
"2858","horse",1149.4,3,"red",0,"M",6.776,"black",4,3
"2859","goat",438.4,5,"brown",0,"F",3.18,"black",4,2
"2860","horse",1261.5,5,"grey",1,"M",5.838,"brown",1,1
"2861","pig",1428.1,2,"black",1,"F",6.785,"brown",5,1
"2862","pig",1239.6,4,"grey",0,"M",6.695,"brown",4,2
"2863","goat",1208.7,3,"white",0,"M",6.593,"black",5,2
"2864","goat",1299.5,3,"grey",0,"F",9.252,"brown",4,1
"2865","pig",825.4,5,"red",0,"F",8.926,"black",1,1
"2866","pig",1016.6,2,"white",1,"M",5.567,"black",5,1
"2867","goat",968.8,5,"white",0,"M",5.843,"brown",3,4
"2868","goat",1103.9,7,"black",0,"F",3.559,"black",2,1
"2869","pig",1357.8,1,"white",1,"M",6.217,"black",2,3
"2870","sheep",886.7,5,"black",0,"M",11.697,"brown",3,2
"2871","pig",1096.9,2,"white",0,"F",2.351,"brown",4,4
"2872","horse",1229.2,3,"brown",0,"F",5.647,"brown",2,1
"2873","horse",644,6,"black",1,"M",7.763,"black",5,1
"2874","goat",1681,4,"brown",1,"F",8.525,"blue",3,1
"2875","goat",1461.2,3,"red",1,"F",1.492,"brown",4,4
"2876","sheep",1341.4,8,"red",1,"M",6.55,"red",5,1
"2877","pig",1109.6,2,"white",1,"F",4.88,"black",2,3
"2878","cow",827,3,"black",1,"M",6.875,"black",2,1
"2879","pig",917.6,4,"white",1,"F",7.179,"black",3,1
"2880","goat",1037.5,5,"white",0,"F",9.748,"black",1,1
"2881","horse",1233.5,4,"grey",0,"M",7.32,"black",3,1
"2882","horse",884.1,7,"black",0,"M",5.194,"brown",1,1
"2883","goat",847.6,2,"red",0,"M",3.014,"black",1,1
"2884","goat",1499.2,2,"red",0,"M",-0.177,"black",4,1
"2885","sheep",681.2,8,"black",1,"M",2.933,"brown",2,1
"2886","goat",1482.7,3,"red",0,"F",4.267,"black",3,1
"2887","goat",897.4,6,"red",1,"F",3.774,"brown",5,2
"2888","goat",1130,4,"red",0,"M",0.657,"black",1,1
"2889","pig",1114.8,4,"brown",0,"M",4.402,"black",5,1
"2890","goat",1349.1,6,"red",0,"M",4.167,"brown",3,1
"2891","horse",1342.6,8,"white",0,"F",5.9,"brown",2,3
"2892","goat",1301,4,"grey",0,"M",6.663,"black",2,1
"2893","horse",1609.9,8,"red",0,"F",7.067,"black",5,3
"2894","pig",967.5,4,"brown",1,"M",5.678,"black",3,1
"2895","horse",1278.8,2,"red",1,"M",3.869,"brown",3,1
"2896","pig",1263.6,4,"black",0,"M",-0.15,"brown",5,1
"2897","goat",422.7,2,"grey",0,"F",-2.72,"blue",5,1
"2898","goat",1082.8,3,"white",0,"F",2.47,"black",5,2
"2899","goat",935.9,2,"black",0,"F",4.483,"brown",5,2
"2900","horse",958.1,3,"grey",0,"M",3.561,"brown",1,1
"2901","pig",1242.7,4,"grey",0,"M",1.172,"brown",2,3
"2902","goat",1204.1,3,"grey",0,"M",1.348,"brown",1,1
"2903","goat",1227.7,2,"red",1,"F",5.175,"blue",5,3
"2904","sheep",1020.1,3,"grey",1,"M",4.731,"black",2,3
"2905","horse",1496.3,3,"black",0,"F",11.435,"brown",3,3
"2906","goat",1228.9,2,"white",0,"F",6.47,"brown",2,1
"2907","goat",815.7,4,"grey",1,"M",3.085,"black",2,3
"2908","sheep",969.2,4,"white",1,"M",4.787,"black",4,2
"2909","horse",1657.2,1,"grey",0,"M",-0.953,"black",1,1
"2910","pig",1083.6,8,"black",0,"M",7.937,"brown",1,1
"2911","pig",979.2,3,"red",1,"M",4.468,"brown",3,1
"2912","horse",1102.3,3,"black",0,"F",8.86,"brown",4,1
"2913","horse",998,1,"brown",1,"M",7.732,"black",3,3
"2914","goat",1278.7,5,"black",0,"M",7.323,"brown",4,1
"2915","pig",1136.6,8,"red",1,"F",6.271,"black",4,4
"2916","horse",1156.1,2,"white",0,"M",-5.787,"brown",2,3
"2917","pig",1576,6,"grey",0,"F",10.328,"black",2,1
"2918","horse",977.6,5,"grey",0,"F",5.565,"black",4,2
"2919","goat",873.7,4,"grey",0,"F",7.291,"black",5,1
"2920","cow",1145.3,4,"grey",0,"F",3.789,"brown",5,2
"2921","sheep",733.6,8,"black",0,"M",6.195,"black",2,2
"2922","horse",968.6,3,"grey",0,"F",5.915,"brown",1,4
"2923","pig",966.2,3,"red",0,"F",4.712,"brown",1,4
"2924","goat",1069.3,4,"black",0,"M",9.987,"black",2,1
"2925","goat",688.7,4,"brown",0,"F",-0.826,"black",2,1
"2926","pig",1350,5,"brown",0,"F",7.02,"brown",4,1
"2927","horse",854.7,3,"red",0,"F",4.351,"brown",5,1
"2928","pig",1434.4,2,"grey",1,"M",11.047,"brown",4,1
"2929","goat",1016.9,2,"white",0,"M",-0.828,"black",1,1
"2930","goat",1121.4,4,"black",1,"M",0.536,"brown",4,1
"2931","horse",1222.9,2,"brown",0,"F",1.278,"brown",3,1
"2932","horse",924.4,3,"red",0,"F",6.195,"black",5,1
"2933","horse",1525.7,7,"black",0,"F",10.061,"black",4,1
"2934","pig",1400,2,"black",0,"F",8.369,"black",1,1
"2935","goat",906.2,2,"white",1,"M",7.407,"brown",1,1
"2936","horse",630.6,4,"brown",1,"F",11.761,"black",5,1
"2937","horse",1543.5,8,"black",0,"F",2.135,"black",4,1
"2938","horse",715.4,4,"brown",0,"F",3.827,"brown",4,1
"2939","pig",1246.4,7,"grey",1,"M",2.827,"black",5,1
"2940","horse",1264,1,"brown",0,"F",9.737,"brown",4,1
"2941","horse",1075,5,"brown",0,"M",4.925,"black",3,2
"2942","goat",1033.4,3,"black",1,"F",5.16,"brown",3,2
"2943","sheep",1462.1,2,"brown",0,"F",5.976,"brown",5,3
"2944","goat",890.2,4,"red",0,"M",8.217,"black",4,1
"2945","goat",736.5,5,"grey",0,"F",0.823,"black",4,4
"2946","goat",1116.2,7,"brown",0,"M",3.495,"brown",2,1
"2947","sheep",924.5,4,"white",0,"F",6.132,"brown",1,1
"2948","pig",1501.9,4,"grey",0,"F",1.348,"black",5,1
"2949","pig",1338.3,4,"grey",0,"M",3.406,"black",5,3
"2950","pig",1118,3,"black",0,"M",2.645,"brown",1,1
"2951","pig",706.1,6,"red",0,"M",9.115,"brown",1,1
"2952","goat",915.8,6,"grey",0,"F",5.422,"black",2,2
"2953","goat",709.2,1,"brown",1,"F",5.361,"black",5,1
"2954","pig",1006.3,4,"red",1,"M",7.875,"brown",5,4
"2955","goat",1070,7,"grey",0,"M",3.852,"black",4,2
"2956","goat",1084,3,"brown",0,"M",4.322,"brown",3,1
"2957","pig",1057.2,2,"grey",0,"M",-0.877,"black",2,1
"2958","goat",956.1,5,"white",1,"M",4.389,"black",4,2
"2959","goat",1040.6,3,"brown",0,"F",6.764,"blue",3,2
"2960","goat",1379.9,3,"brown",0,"M",0.504,"blue",1,4
"2961","goat",1198.7,7,"grey",0,"M",7.352,"brown",5,1
"2962","horse",706.3,6,"red",0,"F",0.205,"black",4,1
"2963","goat",1092.5,7,"brown",0,"F",5.296,"brown",4,1
"2964","horse",1332.2,2,"grey",0,"F",4.299,"blue",2,3
"2965","goat",737.8,4,"black",0,"F",0.624,"black",1,1
"2966","pig",1072.4,1,"red",0,"M",7.913,"black",5,2
"2967","goat",1133,3,"black",0,"F",0.014,"brown",1,4
"2968","pig",1077,5,"white",0,"F",-3.591,"black",3,1
"2969","horse",1378.1,3,"grey",0,"M",2.863,"brown",4,2
"2970","horse",1450.7,4,"brown",0,"F",5.329,"black",5,3
"2971","horse",1185.8,3,"brown",0,"M",4.699,"brown",3,1
"2972","sheep",1551.5,4,"black",0,"M",6.245,"blue",2,2
"2973","goat",1165.6,4,"grey",1,"F",4.503,"black",2,2
"2974","goat",1005.9,4,"white",1,"F",5.775,"brown",2,3
"2975","goat",1041.4,7,"white",0,"M",3.109,"black",2,1
"2976","sheep",870.7,4,"black",0,"F",5.041,"brown",2,3
"2977","sheep",853.8,2,"grey",0,"F",4.821,"brown",1,2
"2978","goat",1002.8,4,"brown",0,"F",7.842,"brown",5,2
"2979","goat",926.2,3,"brown",0,"F",1.568,"black",4,2
"2980","goat",1011.1,6,"white",1,"M",9.664,"black",3,1
"2981","horse",1113.8,4,"brown",0,"M",6.624,"black",5,3
"2982","sheep",1124.4,7,"brown",1,"F",0.183,"black",3,1
"2983","goat",740.4,5,"red",0,"M",2.58,"black",2,4
"2984","goat",1569.5,5,"grey",0,"F",6.341,"brown",5,4
"2985","horse",672.1,1,"brown",0,"F",5.123,"brown",3,3
"2986","sheep",957.6,4,"red",0,"F",1.163,"black",3,2
"2987","sheep",1319.3,5,"black",1,"F",3.012,"brown",5,1
"2988","pig",1197,3,"black",0,"F",5.429,"black",3,2
"2989","goat",823.7,1,"brown",0,"F",6.152,"black",4,4
"2990","sheep",1301.3,2,"red",0,"M",7.081,"brown",2,1
"2991","horse",1033.1,5,"black",1,"F",5.43,"black",4,1
"2992","sheep",1605.8,2,"grey",0,"M",4.917,"brown",5,1
"2993","goat",1055.1,6,"brown",0,"M",4.839,"brown",1,1
"2994","goat",1068.5,5,"grey",0,"F",6.068,"black",3,3
"2995","goat",972.3,7,"grey",0,"M",4.067,"brown",5,1
"2996","horse",1252.2,4,"grey",0,"F",7.329,"brown",1,1
"2997","goat",938.9,2,"black",0,"M",8.698,"black",5,2
"2998","sheep",965.8,1,"grey",0,"F",0.723,"brown",3,1
"2999","horse",1012.2,6,"grey",0,"M",0.401,"brown",3,1
"3000","sheep",1374.5,7,"brown",0,"F",10.537,"blue",2,1
"3001","goat",1368.6,3,"black",1,"M",5.609,"black",4,2
"3002","sheep",1449.1,3,"red",0,"F",-0.199,"black",5,1
"3003","goat",1116.4,1,"black",1,"M",8.258,"black",3,1
"3004","pig",1255.8,4,"white",0,"M",0.214,"brown",2,3
"3005","pig",1355.4,2,"red",1,"F",8.664,"black",3,1
"3006","goat",1010.7,4,"red",0,"M",1.718,"black",1,1
"3007","horse",1181.7,1,"red",0,"F",9.063,"black",1,1
"3008","goat",592.7,4,"grey",1,"F",9.554,"black",3,2
"3009","pig",1030.3,2,"grey",1,"M",6.584,"black",1,3
"3010","pig",1334.4,4,"white",0,"M",-1.42,"brown",3,3
"3011","horse",963.8,4,"grey",0,"F",5.772,"black",4,3
"3012","horse",1395.9,6,"brown",0,"M",3.883,"brown",4,3
"3013","horse",1059.2,5,"grey",0,"F",7.749,"brown",4,1
"3014","sheep",1075.5,2,"grey",1,"F",3.724,"black",3,3
"3015","goat",905.3,3,"brown",0,"F",9.068,"brown",4,3
"3016","pig",1338.2,5,"grey",0,"F",1.844,"black",4,1
"3017","pig",1362.1,4,"white",0,"F",0.505,"brown",2,1
"3018","goat",1227.3,4,"brown",1,"F",4.817,"brown",4,1
"3019","goat",1134.7,3,"brown",0,"M",3.738,"black",4,1
"3020","horse",1459.5,1,"red",0,"F",7.493,"black",1,1
"3021","goat",1201,5,"brown",0,"F",5.314,"brown",5,1
"3022","horse",1223.2,4,"black",1,"F",5.792,"brown",4,1
"3023","horse",585.9,4,"red",0,"M",3.2,"black",3,2
"3024","horse",1010.7,4,"brown",0,"F",2.033,"brown",4,1
"3025","horse",1096.3,1,"brown",0,"M",5.811,"black",5,1
"3026","sheep",1172.9,4,"red",0,"F",4.941,"brown",1,1
"3027","goat",1087.7,3,"white",0,"M",8.327,"black",2,1
"3028","pig",1139.1,7,"brown",0,"F",0.099,"black",2,2
"3029","horse",1393,1,"grey",1,"M",4.46,"black",3,1
"3030","pig",1012.9,6,"brown",0,"M",2.384,"brown",5,2
"3031","sheep",1342.5,4,"white",0,"F",1.039,"black",4,3
"3032","horse",1058.6,2,"grey",0,"M",6.689,"brown",1,1
"3033","goat",1126.2,7,"brown",1,"F",4.891,"black",2,3
"3034","pig",1095.9,3,"black",0,"F",5.435,"brown",5,1
"3035","sheep",623,1,"brown",1,"M",9.723,"black",5,3
"3036","horse",1309.7,3,"white",0,"M",5.42,"black",5,3
"3037","horse",773.5,2,"black",0,"M",6.861,"brown",2,1
"3038","horse",1080.6,8,"brown",0,"F",6.188,"black",2,3
"3039","pig",995.8,3,"red",1,"M",5.764,"brown",3,1
"3040","pig",848.8,6,"red",0,"M",6.672,"black",2,1
"3041","goat",963.6,3,"white",0,"F",7.788,"brown",2,1
"3042","horse",828.8,6,"red",1,"M",1.786,"black",1,1
"3043","sheep",1103.6,7,"red",1,"F",6.764,"brown",1,1
"3044","goat",747.3,2,"grey",0,"M",5.533,"black",5,4
"3045","sheep",868.7,2,"black",0,"F",10.244,"black",4,4
"3046","goat",859.8,3,"black",1,"F",4.854,"black",2,1
"3047","pig",906.7,1,"red",1,"M",8.154,"black",2,1
"3048","horse",1197,1,"grey",0,"M",8.678,"black",5,3
"3049","horse",1209.3,3,"black",0,"M",6.266,"black",5,3
"3050","goat",1169.3,3,"brown",1,"F",1.196,"black",1,1
"3051","goat",1229.7,3,"black",1,"F",7.149,"brown",5,2
"3052","horse",1088.5,3,"red",0,"F",7.17,"blue",4,3
"3053","horse",502.7,4,"grey",1,"F",5.217,"brown",2,1
"3054","pig",570.4,5,"white",0,"M",10.472,"black",5,2
"3055","goat",942.1,3,"grey",0,"M",3.914,"black",5,1
"3056","horse",1272.7,3,"white",1,"F",8.749,"black",5,4
"3057","horse",786,5,"black",0,"F",9.1,"brown",4,1
"3058","goat",564.8,2,"brown",1,"F",2.893,"brown",4,4
"3059","pig",1057.2,7,"brown",0,"M",5.706,"black",1,1
"3060","horse",750.9,2,"grey",0,"M",3.898,"brown",4,1
"3061","horse",1239.4,2,"black",1,"F",7.248,"black",2,1
"3062","sheep",957.1,4,"brown",0,"M",9.587,"brown",1,2
"3063","pig",1119.5,4,"brown",0,"F",2.016,"black",5,4
"3064","sheep",1065.4,2,"grey",0,"F",10.026,"brown",3,2
"3065","horse",871.7,4,"grey",0,"M",9.834,"black",3,2
"3066","goat",1017.7,4,"red",0,"F",6.349,"black",5,1
"3067","horse",1275.2,1,"brown",0,"M",1.269,"black",4,3
"3068","horse",1072.9,5,"black",0,"F",2.339,"brown",2,1
"3069","goat",725,3,"white",1,"F",7.537,"black",5,1
"3070","goat",570.9,1,"red",1,"F",1.824,"black",1,1
"3071","goat",1245.7,2,"red",1,"F",3.575,"black",2,3
"3072","goat",1107.9,2,"red",0,"F",8.778,"brown",3,1
"3073","horse",1025.3,3,"grey",0,"F",7.638,"black",2,1
"3074","sheep",962,5,"red",0,"M",-0.258,"black",1,1
"3075","sheep",1088.4,5,"red",0,"M",9.262,"brown",4,3
"3076","horse",569.9,2,"white",0,"F",5.011,"black",3,3
"3077","goat",1168.9,3,"black",0,"M",5.772,"black",2,2
"3078","goat",566.6,4,"red",1,"F",7.011,"black",4,1
"3079","horse",1348.6,6,"red",1,"F",7.577,"black",1,1
"3080","goat",643.1,5,"red",0,"F",-2.222,"brown",1,2
"3081","horse",877.7,3,"black",1,"M",8.249,"black",1,1
"3082","horse",1276.1,8,"red",1,"M",7.906,"black",3,2
"3083","goat",1184.5,5,"grey",0,"F",3.479,"brown",5,1
"3084","pig",1081.6,3,"grey",1,"F",4.361,"brown",5,2
"3085","sheep",1170.9,1,"white",0,"F",3.248,"black",3,1
"3086","goat",1337.1,2,"grey",0,"M",10.231,"brown",3,2
"3087","horse",1365.9,7,"grey",0,"F",10.727,"black",5,1
"3088","pig",1168.3,6,"brown",1,"F",7.896,"black",5,3
"3089","goat",876.9,5,"white",0,"M",5.971,"brown",4,1
"3090","goat",1350.2,2,"red",0,"M",9.202,"brown",1,1
"3091","pig",666.9,5,"black",0,"M",4.669,"black",4,1
"3092","pig",1077.6,4,"white",0,"M",4.092,"black",3,3
"3093","horse",734.1,3,"grey",0,"F",1.304,"black",3,1
"3094","pig",1204.9,3,"white",0,"M",4.061,"black",5,1
"3095","goat",1652.7,4,"white",1,"M",-4.725,"black",4,1
"3096","horse",954,4,"brown",0,"M",2.35,"brown",5,2
"3097","horse",1345.1,2,"black",1,"F",1.632,"brown",2,1
"3098","goat",1345,2,"red",0,"M",5.964,"black",3,1
"3099","sheep",1280.5,4,"black",1,"M",0.011,"black",5,2
"3100","pig",1116.2,1,"brown",1,"M",0.923,"black",3,1
"3101","pig",1221.3,8,"white",0,"F",0.043,"brown",2,2
"3102","pig",945.7,5,"grey",0,"M",4.922,"brown",3,1
"3103","goat",872.4,8,"white",0,"F",3.585,"black",2,2
"3104","goat",1146.5,3,"black",1,"M",7.256,"brown",2,3
"3105","goat",1079.8,3,"red",0,"M",2.71,"black",2,1
"3106","horse",1155.9,3,"brown",1,"F",9.839,"black",5,3
"3107","goat",1044.9,3,"white",1,"M",6.298,"brown",5,1
"3108","goat",1404.3,3,"brown",0,"F",3.798,"black",1,1
"3109","goat",875.3,1,"white",1,"F",6.246,"black",2,4
"3110","horse",1360.5,7,"grey",0,"F",2.525,"brown",1,1
"3111","sheep",1272.7,7,"red",0,"M",12.502,"black",3,1
"3112","cow",858.2,5,"grey",1,"F",6.798,"brown",1,1
"3113","goat",926.9,1,"white",1,"M",4.007,"brown",5,1
"3114","goat",966.4,3,"grey",0,"F",5.989,"brown",2,1
"3115","horse",1348.1,8,"grey",0,"M",1.263,"black",2,3
"3116","goat",1027.9,2,"grey",0,"F",5.561,"black",2,3
"3117","pig",799.7,2,"black",0,"M",6.179,"black",3,3
"3118","goat",1007.9,5,"black",0,"M",7.961,"black",1,2
"3119","goat",1175,3,"red",0,"F",4.64,"brown",4,1
"3120","cow",1148,8,"brown",1,"F",5.362,"brown",2,1
"3121","pig",1211.5,8,"black",0,"M",1.351,"brown",2,3
"3122","pig",731,8,"black",1,"M",1.794,"brown",1,3
"3123","goat",1264.1,4,"red",0,"F",2.992,"black",1,3
"3124","sheep",1851.8,5,"red",0,"F",9.804,"black",5,3
"3125","goat",955.7,3,"red",0,"F",2.726,"brown",2,1
"3126","goat",1240.3,4,"grey",0,"F",-1.476,"brown",1,3
"3127","goat",1367.2,4,"white",0,"F",7.502,"brown",2,1
"3128","pig",1170,1,"grey",0,"F",7.079,"brown",2,3
"3129","horse",997.3,2,"black",0,"F",2.608,"brown",2,1
"3130","horse",920.6,8,"red",0,"F",3.754,"brown",2,3
"3131","goat",936.8,8,"grey",0,"M",11.266,"brown",3,1
"3132","goat",913,3,"black",1,"M",10.026,"black",3,1
"3133","pig",1592,3,"grey",0,"M",-0.854,"brown",1,1
"3134","goat",1119,2,"grey",0,"M",-0.32,"black",5,4
"3135","horse",1115.3,4,"white",0,"M",8.65,"brown",4,3
"3136","goat",1137.3,1,"grey",1,"M",6.06,"brown",1,2
"3137","pig",1266.4,3,"black",1,"M",3.594,"brown",2,2
"3138","horse",1086.5,3,"grey",1,"M",6.189,"black",3,2
"3139","goat",982.8,2,"white",0,"F",4.388,"brown",2,1
"3140","sheep",751.7,8,"red",0,"M",5.294,"black",3,3
"3141","horse",1557.1,7,"white",0,"F",7.419,"black",2,3
"3142","horse",945.4,1,"red",0,"M",8.19,"black",4,4
"3143","pig",800.4,8,"white",0,"M",2.599,"red",3,1
"3144","horse",1026.9,5,"brown",1,"M",7.346,"black",1,1
"3145","pig",800.8,7,"black",0,"M",3.401,"black",3,1
"3146","horse",657.2,3,"brown",1,"M",1.954,"brown",1,3
"3147","pig",1103.6,5,"white",0,"F",6.104,"brown",4,1
"3148","pig",929.1,3,"white",0,"M",6.637,"brown",3,1
"3149","sheep",913.4,1,"brown",0,"F",8.077,"black",3,3
"3150","pig",966,5,"brown",0,"M",1.075,"brown",3,1
"3151","goat",1012.7,5,"white",0,"M",3.469,"black",1,1
"3152","pig",1242.5,4,"brown",0,"F",3.417,"black",5,4
"3153","goat",1384.5,3,"brown",1,"M",4.125,"black",2,1
"3154","horse",857.4,1,"red",0,"F",7.503,"black",5,3
"3155","goat",1007.2,5,"black",0,"F",3.692,"brown",2,1
"3156","pig",979.6,3,"red",1,"F",5.987,"brown",1,1
"3157","horse",1672.8,8,"brown",0,"F",11.256,"brown",5,3
"3158","sheep",1259.4,1,"white",0,"F",4.86,"black",2,1
"3159","pig",1150.4,5,"white",0,"F",5.566,"brown",2,1
"3160","goat",1392.5,5,"red",1,"M",4.281,"black",4,1
"3161","pig",862.6,7,"red",1,"F",0.694,"brown",1,1
"3162","goat",919.4,8,"black",1,"M",6.098,"brown",5,4
"3163","goat",1334.3,4,"black",1,"M",7.096,"black",3,3
"3164","horse",1242,8,"brown",1,"F",8.034,"brown",3,1
"3165","goat",1130.2,2,"white",0,"M",5.253,"brown",5,1
"3166","horse",882,6,"black",0,"M",9.529,"brown",2,1
"3167","horse",1024.6,4,"black",0,"F",8.946,"black",2,1
"3168","goat",754.5,3,"brown",0,"M",6.434,"brown",3,1
"3169","pig",798.5,1,"white",0,"F",1.079,"brown",1,1
"3170","pig",1346.8,3,"red",0,"M",4.031,"black",4,2
"3171","goat",543.9,5,"black",0,"M",4.62,"black",1,2
"3172","goat",961.9,5,"brown",0,"F",3.669,"black",4,3
"3173","horse",1066.5,1,"black",1,"F",4.867,"black",4,3
"3174","pig",1409.8,6,"red",1,"F",7.815,"black",5,2
"3175","goat",1390.3,3,"black",0,"F",8.081,"black",3,1
"3176","sheep",875.9,7,"brown",0,"F",7.918,"brown",5,1
"3177","goat",1439.7,3,"brown",0,"F",8.254,"brown",3,1
"3178","horse",1190.8,7,"red",0,"F",3.485,"black",4,4
"3179","goat",1386.6,3,"red",0,"M",10.049,"black",5,4
"3180","horse",1439.6,2,"black",0,"F",6.956,"black",1,2
"3181","horse",505.7,4,"brown",0,"M",3.348,"brown",4,1
"3182","goat",828.7,4,"black",0,"M",3.562,"black",3,1
"3183","pig",1481.1,6,"red",1,"M",5.414,"black",2,1
"3184","pig",1053.9,3,"brown",0,"F",6.305,"black",1,2
"3185","horse",851,7,"brown",0,"F",1.472,"black",3,1
"3186","sheep",1134,2,"black",0,"F",2.777,"brown",5,1
"3187","horse",999.6,7,"black",1,"M",7.007,"brown",5,3
"3188","pig",857,2,"red",0,"M",1.227,"brown",3,1
"3189","pig",1208.8,3,"red",0,"F",9.75,"brown",4,1
"3190","goat",839.3,2,"black",1,"F",4.9,"brown",1,2
"3191","sheep",1069.9,4,"grey",0,"F",8.448,"brown",4,1
"3192","goat",1432.9,3,"white",1,"M",3.409,"black",1,1
"3193","goat",1103.4,5,"grey",1,"F",3.95,"brown",3,1
"3194","pig",1133.6,5,"red",0,"F",5.812,"black",2,1
